,state,Coal_variable_om_per_mwh,Coal_fixed_om_per_kw_year,Coal_capital_cost_per_kw,Gas_variable_om_per_mwh,Gas_fixed_om_per_kw_year,Gas_capital_cost_per_kw,Gas_CC_variable_om_per_mwh,Gas_CC_fixed_om_per_kw_year,Gas_CC_capital_cost_per_kw,Gas_SC_variable_om_per_mwh,Gas_SC_fixed_om_per_kw_year,Gas_SC_capital_cost_per_kw,Wind_variable_om_per_mwh,Wind_fixed_om_per_kw_year,Wind_capital_cost_per_kw,Solar_variable_om_per_mwh,Solar_fixed_om_per_kw_year,Solar_capital_cost_per_kw,Wind_storage_om_per_kw_year,Wind_storage_cap_per_kw,Solar_storage_om_per_kw_year,Solar_storage_cap_per_kw,Gas_storage_om_per_kw_year,Gas_storage_cap_per_kw,Gas_CC_storage_om_per_kw_year,Gas_CC_storage_cap_per_kw,Gas_SC_storage_om_per_kw_year,Gas_SC_storage_cap_per_kw,Coal_storage_cap_per_kw,Coal_storage_om_per_kw_year
36,IA,13.126927067645997,107.52291226089997,4479.0890295034,1.684099920358,25.71123004424,944.2572089538,1.684099920358,25.71123004424,944.2572089538,4.2310438054235995,56.78454372742799,2100.57227721,0.0,40.214334277748,1295.9328963316,0.0,20.032268410111993,1124.3425891263996,30.200823419634,1208.0461553976,31.812439635647994,1272.5115094271998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,MA,14.135849393820001,115.787014453,4823.347278178,1.9121908464350001,29.1935045818,1072.1454052785,1.9121908464350001,29.1935045818,1072.1454052785,4.62993009011,62.1379687253,2298.6060272500004,0.0,41.480539037259994,1336.7371625419999,0.0,20.76325957104,1165.370618388,31.151738734829998,1246.0831842119999,32.97329729316,1318.946323824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,PA,13.586273817774,111.28543033209999,4635.8244923146,1.8473650042868,28.203805502704,1035.79823369148,1.8473650042868,28.203805502704,1035.79823369148,4.5469684468664,61.024546299272,2257.41833554,0.0,40.2883332572,1298.31756124,0.0,20.020603657544,1123.6878865318,30.2563963926,1210.26909864,31.793915311326003,1271.7705283464002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,13.488753773600003,110.48664177333335,4602.549304773334,1.7990028680809995,27.465458570679992,1008.6820898090997,1.7990028680809995,27.465458570679992,1008.6820898090997,4.446269213232334,59.67306891010334,2207.4245211916673,0.0,41.04202656643333,1322.6058149366665,0.0,19.96292793651333,1120.4507459251665,30.822417413549996,1232.91018722,31.702322818844998,1268.1067885579998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,NJ,13.5035640606825,110.60795311987499,4607.60277951675,1.8157238194287502,27.720738095050002,1018.0573523216251,1.8157238194287502,27.720738095050002,1018.0573523216251,4.485375711731,60.19791449813,2226.839594725,0.0,39.743618547345,1280.7637778865,0.0,19.95644751842,1120.0870222615,29.8473175638225,1193.905766439,31.692031527555,1267.695132402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,WA,13.32925837425,109.1802118875,4548.127269075,1.8015753221345001,27.50473234366,1010.12443788795,1.8015753221345001,27.50473234366,1010.12443788795,4.460235819839,59.86051376297,2214.358476025,0.0,39.75389618338,1281.094981346,0.0,20.073095044099997,1126.6340482075,29.85503603229,1194.214508556,31.877274770775,1275.10494321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,CT,15.07915075569,123.5136140635,5145.214746451,2.025378824789,30.921550592920003,1135.6087207479002,2.025378824789,30.921550592920003,1135.6087207479002,4.801719351371999,64.44354041556,2383.8936717,0.0,41.480539037259994,1336.7371625419999,0.0,21.015995876679998,1179.555841271,31.151738734829998,1246.0831842119999,33.37465765347,1335.000913908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,ND,12.978368495679998,106.30606613866665,4428.398790538667,1.6861007179551664,25.741776312113327,945.3790352373497,1.6861007179551664,25.741776312113327,945.3790352373497,4.250736720739,57.048840969969994,2110.349153525,0.0,39.73334091131,1280.432574427,0.0,19.91432480081333,1117.7228184476664,29.839599095355002,1193.5970243220002,31.625138134169994,1265.0193673879996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,AR,12.90545631312,105.708841048,4403.520145648,1.6998204729071669,25.951236434673337,953.0715583245501,1.6998204729071669,25.951236434673337,953.0715583245501,4.287748228246667,57.54556983006667,2128.724133833334,0.0,39.42501183026,1270.496470642,0.0,19.570862641866665,1098.4454642733333,29.608045041329998,1184.334760812,31.0796996958,1243.2015911199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,OR,13.32925837425,109.1802118875,4548.127269075,1.8015753221345001,27.50473234366,1010.12443788795,1.8015753221345001,27.50473234366,1010.12443788795,4.460235819839,59.86051376297,2214.358476025,0.0,39.75389618338,1281.094981346,0.0,20.073095044099997,1126.6340482075,29.85503603229,1194.214508556,31.877274770775,1275.10494321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,CA,13.766731469609999,112.76356243149999,4697.399138418999,1.929554911296125,29.458602549414998,1081.8812548107376,1.929554911296125,29.458602549414998,1081.8812548107376,4.674448648668751,62.73544919381251,2320.7080082812504,0.0,41.0334618697375,1322.3298120537502,0.0,20.498372481475002,1150.503413635625,30.81598535649375,1232.6529021225,32.55264076168125,1302.1198784475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,ME,13.57533699039,111.1958465685,4632.092695581,1.8247274086160001,27.858196300480003,1023.1055705976,1.8247274086160001,27.858196300480003,1023.1055705976,4.5000406486680005,60.39473159364,2234.1202473000003,0.0,41.480539037259994,1336.7371625419999,0.0,20.7049358082,1162.097105415,31.151738734829998,1246.0831842119999,32.88067567155,1315.24141842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,WV,13.731186780612,112.4724151998,4685.2707990348,1.8593697898698003,28.387083109944,1042.5291913927801,1.8593697898698003,28.387083109944,1042.5291913927801,4.5536724180376,61.114519828648,2260.74663386,0.0,41.612092778508,1340.9765668236,0.0,20.152804186648,1131.1078492706001,31.250535131214,1250.0350833096,32.00385765364201,1280.1683139288002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,NY,14.55965145495,119.2583852925,4967.954401605,1.960424359938125,29.929887825174998,1099.1894317569374,1.960424359938125,29.929887825174998,1099.1894317569374,4.7346796396599995,63.54380512179999,2350.6106885,0.0,43.751896600994996,1409.9331270915,0.0,20.542115303604998,1152.9585483653748,32.857520266147496,1314.315192069,32.62210697788875,1304.8985575005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,WI,13.061306103342,106.9854096793,4456.698249101801,1.685814889727,25.73741255956,945.2187743397,1.685814889727,25.73741255956,945.2187743397,4.235233787405599,56.840777183288,2102.65246366,0.0,39.745674074552,1280.8300185784,0.0,19.826191114743995,1112.7761766217998,29.848861257516,1193.9675148624,31.485176572625996,1259.4208436663998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
