,name,PM25RT
482,NSB Point Lay Utility,0.31
483,NSB Point Lay Utility,
484,NSB Point Lay Utility,
485,NSB Point Lay Utility,
486,NSB Point Lay Utility,
487,NSB Point Lay Utility,
488,NSB Point Lay Utility,
489,NSB Point Lay Utility,
490,NSB Point Lay Utility,
491,NSB Point Lay Utility,0.31
492,NSB Point Lay Utility,0.31
493,NSB Point Lay Utility,0.31
494,NSB Wainwright Utility,0.31
495,NSB Wainwright Utility,0.31
496,NSB Wainwright Utility,0.31
497,NSB Wainwright Utility,
498,NSB Wainwright Utility,0.31
499,NSB Wainwright Utility,0.31
500,Nunapitchuk,
501,Nunapitchuk,
502,Nunapitchuk,
503,Nunapitchuk,
504,Nunapitchuk,
505,Nymans Plant Microgrid,
506,Nymans Plant Microgrid,
507,Orca,
508,Orca,
509,Orca,0.31
510,Orca,0.31
511,Orca,0.31
512,Orca,0.31
513,Orca,0.31
514,Pelican,
515,Pelican,
516,Pelican,
517,Pelican,
518,Pelican,
519,Pelican,
520,Pelican,
521,Pelican,0.31
522,Pelican,0.31
523,Pelican,0.31
524,Petersburg,
525,Petersburg,0.31
526,Petersburg,
527,Petersburg,0.31
528,Petersburg,0.31
529,Petersburg,0.31
530,Petersburg,0.31
531,Petersburg,0.31
532,Petersburg,0.31
533,Pillar Mountain Wind Project Microgrid,
534,Pillar Mountain Wind Project Microgrid,
535,Pilot Station,0.31
536,Pilot Station,
537,Pilot Station,0.31
538,Pilot Station,0.31
539,Port Lions Microgrid,
540,Port Lions Microgrid,
541,Port Lions Microgrid,
542,Port Lions Microgrid,
543,Port Lions Microgrid,
544,Power Creek,
545,Power Creek,
546,Purple Lake,
547,Purple Lake,
548,Purple Lake,
549,Quinhagak,
550,Quinhagak,0.31
551,Quinhagak,0.31
552,Quinhagak,0.31
553,Quinhagak,
554,S W Bailey,0.31
555,S W Bailey,0.31
556,S W Bailey,0.31
557,S W Bailey,0.31
558,Salmon Creek 1,
559,Sand Point,
560,Sand Point,
561,Sand Point,
562,Sand Point,
563,Sand Point,
564,Sand Point,
565,Savoonga,0.31
566,Savoonga,0.31
567,Savoonga,
568,Savoonga,0.31
569,Scammon Bay,0.31
570,Scammon Bay,0.31
571,Scammon Bay,0.31
572,Selawik,
573,Selawik,0.31
574,Selawik,0.31
575,Selawik,
576,Selawik,
577,Selawik,0.31
578,Selawik,
579,Selawik,
580,Selawik,0.31
581,Seldovia,
582,Seldovia,
583,Seldovia,
584,Seldovia,
585,Seldovia,0.31
586,Seldovia,
587,Seldovia,0.31
588,Seward (AK),
589,Seward (AK),
590,Seward (AK),
591,Seward (AK),
592,Seward (AK),
593,Seward (AK),
594,Seward (AK),
595,Seward (AK),
596,Shishmaref,0.31
597,Shishmaref,0.31
598,Shishmaref,
599,Shishmaref,0.31
600,Shishmaref,
601,Shishmaref,0.31
602,Shungnak,0.31
603,Shungnak,0.31
604,Shungnak,0.31
605,Shungnak,0.31
606,Silvis,
607,Skagway,
608,Skagway,
609,Skagway,
610,Skagway,
611,Skagway,0.31
612,Skagway,0.31
613,Skagway,0.31
614,Skagway,0.31
615,Slana Generating Station,0.31
616,Slana Generating Station,0.31
617,Slana Generating Station,0.31
618,Snake River,
619,Snake River,0.31
620,Snake River,0.31
621,Snake River,0.31
622,Snake River,0.31
623,Snake River,0.31
624,Snake River,
625,Snake River,
626,Snake River,
627,Snake River,
628,Snake River,
629,Snake River,
630,Snettisham,
631,Snettisham,
632,Snettisham,
633,Soldotna,0.001
634,Soldotna,
635,Soldotna,
636,Solomon Gulch,
637,Solomon Gulch,
638,South Fork,
639,Southcentral Power Project,0.0062
640,Southcentral Power Project,0.0062
641,Southcentral Power Project,0.0062
642,Southcentral Power Project,
643,Southcentral Power Project,
644,Southcentral Power Project,
645,St Marys IC,
646,St Marys IC,0.31
647,St Marys IC,0.31
648,St Marys IC,0.31
649,St. Michael,
650,St. Michael,
651,St. Michael,
652,St. Michael,
653,Stebbins,0.31
654,Stebbins,0.31
655,Stebbins,0.31
656,Stebbins,0.31
657,Stebbins,
658,Stebbins,
659,Stebbins,
660,Swampy Acres Microgrid,
661,Swampy Acres Microgrid,
662,Swampy Acres Microgrid,
663,Swan Lake,
664,Swan Lake,
665,Sweetheart Lake Hydroelectric Facility,
666,Sweetheart Lake Hydroelectric Facility,
667,Sweetheart Lake Hydroelectric Facility,
668,Terror Lake Microgrid,
669,Terror Lake Microgrid,
670,Terror Lake Microgrid,
671,Tesoro Kenai Cogeneration Plant,0.001
672,Tesoro Kenai Cogeneration Plant,0.001
673,Tesoro Kenai Cogeneration Plant,
674,Thorne Bay Plant,0.31
675,Thorne Bay Plant,0.31
676,TNSG North Plant,
677,TNSG North Plant,0.001
678,TNSG North Plant,0.001
679,TNSG North Plant,0.001
680,TNSG North Plant,0.001
681,TNSG South Plant,
682,TNSG South Plant,0.0004
683,TNSG South Plant,0.0004
684,TNSG South Plant,0.0004
685,TNSG South Plant,0.0004
686,TNSG South Plant,0.0004
687,Togiak,0.31
688,Togiak,
689,Togiak,
690,Togiak,0.31
691,Togiak,0.31
692,Togiak,
693,Togiak,
694,Togiak,
695,Togiak,0.31
696,Togiak,
697,Togiak,
698,Tok,0.31
699,Tok,0.31
700,Tok,0.31
701,Tok,0.31
702,Tok,0.31
703,Tok,0.31
704,Toksook Bay,0.31
705,Toksook Bay,
706,Toksook Bay,0.31
707,Toksook Bay,0.31
708,Tyee Lake Hydroelectric Facility,
709,Tyee Lake Hydroelectric Facility,
710,Unalakleet,
711,Unalakleet,
712,Unalakleet,
713,Unalakleet,
714,Unalakleet,0.31
715,Unalakleet,0.31
716,Unalakleet,0.31
717,Unalakleet,0.31
718,Unalaska Power Module,0.31
719,Unisea G 2,
720,Unisea G 2,
721,Unisea G 2,0.31
722,Unisea G 2,0.31
723,Unisea G 2,0.31
724,Unisea G 2,0.31
725,Unisea G 2,0.31
726,Unisea G 2,0.31
727,Unisea G 2,0.31
728,Unisea G 2,0.31
729,University of Alaska Fairbanks,
730,University of Alaska Fairbanks,
731,University of Alaska Fairbanks,
732,University of Alaska Fairbanks,
733,University of Alaska Fairbanks,0.0089
734,University of Alaska Fairbanks,
735,Upper Kalskag,0.31
736,Upper Kalskag,0.31
737,Upper Kalskag,0.31
738,Utility Plants Section,0.0089
739,Utility Plants Section,0.0089
740,Utility Plants Section,0.0089
741,Utility Plants Section,0.0089
742,Utility Plants Section,0.0089
743,Utility Plants Section,0.0089
744,Valdez,
745,Valdez,0.31
746,Valdez,0.31
747,Valdez,
748,Valdez,
749,Valdez,0.31
750,Valdez,0.31
751,Valdez,0.31
752,Valdez,
753,Valdez Cogen,0.31
754,Viking,
755,Westward Seafoods,0.31
756,Westward Seafoods,0.31
757,Westward Seafoods,0.31
758,Whitman,
759,Whitman,
760,Wrangell,
761,Wrangell,0.31
762,Wrangell,0.31
763,Wrangell,0.31
764,Wrangell,
765,Wrangell,
766,Wrangell,
767,Wrangell,
768,Wrangell,
769,Wrangell,0.31
770,Yakutat,
771,Yakutat,0.31
772,Yakutat,
773,Yakutat,0.31
774,Yakutat,
775,Yakutat,
776,Yakutat,
777,Yakutat,0.31
778,Yakutat,0.31
779,ABC Coke,0.0122
780,AL Solar C LLC,
781,Alabama Pine Pulp,0.0187
782,Alabama Pine Pulp,0.0067
