,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
335,Northeastern,OK,36.4317,-95.7008,1961,Coal,1949,3054286000.0,34998029.009,2688246.005,Gas,-69.87452698622035,1646019.1832710365,0.031053457536791923,0.029407438353520887,Coal_Gas,59314161.26200001
305,Roxboro,NC,36.4833,-79.0731,1966,Coal,2573,2310556000.0,55418825.502,5681613.894,Gas,-67.56491193445505,4893173.17944125,0.03594663071623317,0.03105345753679192,Coal_Gas,64995775.15600001
203,St Clair,MI,42.7642,-82.4719,1953,Coal,1923,1885094000.0,19903603.932,2087492.367,Gas,-67.43350706930867,1444233.8351269737,0.03739086455136015,0.03594663071623317,Coal_Gas,67083267.52300001
273,Rio Grande,NM,31.8047,-106.5472,1957,Gas_SC,397,928728000.0,9949978.056,591310.323,Gas,-67.19858764393031,274396.5723916101,0.03766526112375175,0.03739086455136015,Gas_Gas,67674577.84600002
469,Nearman Creek,KS,39.1681,-94.6975,1981,Coal,671,1208375000.0,13611277.482,1423278.426,Gas,-67.08579413502427,1010939.5567170526,0.03867620068046881,0.03766526112375175,Coal_Gas,69097856.27200001
87,Deerhaven Generating Station,FL,29.7592,-82.3878,1972,Coal,469,750718000.0,8258550.147,622402.804,Gas,-66.99069857153658,366232.1522814891,0.03904243283275029,0.03867620068046881,Coal_Gas,69720259.07600002
364,Wateree,SC,33.8264,-80.6228,1970,Coal,770,914984000.0,8639431.337000001,886406.4909999999,Gas,-66.58733933969343,574182.6631551767,0.03961661549590546,0.03904243283275029,Coal_Gas,70606665.56700002
1079,Green Power 2,TX,29.378097,-94.932773,2003,Gas_CC,861,1322500000.0,48285090.776,2869502.616,Gas,-65.50877915252516,2418220.394316584,0.04203483589022205,0.03961661549590546,Gas_Gas,73476168.18300001
223,Jack Watson,MS,30.4392,-89.0286,1957,Gas_SC,1212,2392307000.0,23890945.719,1416769.574,Gas,-65.06394107306808,600432.622840236,0.042635268513062284,0.04203483589022205,Gas_Gas,74892937.75700001
717,Foster Wheeler Mt Carmel Cogen,PA,40.811189,-76.452951,1990,Coal,47,41791000.0,774489.808,91160.458,Gas,-63.408485966896905,76899.93979480406,0.04271216845285709,0.042635268513062284,Coal_Gas,74984098.21500002
268,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1957,Gas_CC,2118,3409922000.0,24664883.538,1465896.209,Gas,-63.04331006644873,302314.22342180926,0.043014482676278894,0.04271216845285709,Gas_Gas,76449994.42400002
582,Rathdrum,ID,47.80427,-116.867312,1994,Gas_SC,166,164655000.0,1539881.405,91511.305,Gas,-61.482297619520274,35325.38877218687,0.043049808065051084,0.043014482676278894,Gas_Gas,76541505.72900003
332,Muskogee,OK,35.76135,-95.28732,1956,Gas_SC,1889,2887174000.0,31639775.147,2623045.207,Gas,-61.36308413335076,1637842.7139137278,0.04468765077896482,0.043049808065051084,Gas_Gas,79164550.93600003
